asin,ranking,date_first_available,product_name,price,mrp,is_dotd,is_deal,is_ld,ratings_count,rating,status,sold_by,fba/mfn,shipping_fee,details
B07H3K85H5,#25 in Watches (See Top 100 in Watches)#9 inMen's Wrist Watches,05-Sep-18,TIMEX Analog Men's Watch (Dial Colored Strap),1199,1595,TRUE,FALSE,FALSE,14172,4.1,In stock,VRP Telematics,FBA,0,"batteries : 1 AA batteries required. (included) | package_dimensions : 20.8 x 10.2 x 8.9 cm; 52 Grams | manufacturer : Timex | item_model_number : TW00ZR262E | country_of_origin : India | department : Men | item_weight : 52 g | generic_name : Watch | ratings : 14,172"
B083JVP51P,"#1,211 in Watches (See Top 100 in Watches)#633 inMen's Wrist Watches",06-Jan-20,TIMEX TW0TG7502,1917,2595,FALSE,FALSE,FALSE,71,4,In stock,VRP Telematics,FBA,0,batteries : 1 AA batteries required. (included) | package_dimensions : 10.2 x 9 x 8.9 cm; 300 Grams | manufacturer : Timex | item_model_number : TW0TG7502 | department : men | item_weight : 300 g | generic_name : casual watch | ratings : 71
B086H5VV6C,"#7,144 in Watches (See Top 100 in Watches)#3,722 inMen's Wrist Watches",27-Mar-20,TIMEX E-Class Surgical Steel Charge Chronograph Analog Black Dial Men's Watch-TWEG19300,5127,9495,FALSE,FALSE,FALSE,4,4.3,In stock,VRP Telematics,FBA,0,"batteries : 1 Lithium Metal batteries required. (included) | product_dimensions : 10 x 10 x 8 cm; 23 Grams | manufacturer : Timex, Timex | item_model_number : TWEG19300 | country_of_origin : India | department : men | packer : Apparal Park-Cum-Industrial Area, Katha Bhatolikalan, Baddi, Himachal Pradesh 173205 | item_weight : 23 g | item_dimensions_lxwxh : 10 x 10 x 8 Centimeters | generic_name : Watch | ratings : 4"
B08QZZ6187,#749 in Watches (See Top 100 in Watches)#392 inMen's Wrist Watches,02-Oct-19,Carlson Raulen Mens Chronograph Waterproof Luxury Fashion Military Quartz Sports Analog Wristwatch,1499,2999,FALSE,FALSE,FALSE,206,4.3,In stock,carlson raulen,FBA,0,product_dimensions : 12 x 6 x 5 cm; 130 Grams | manufacturer : Carlson Raulen | item_model_number : CRMFCHR0100102 | country_of_origin : China | department : men | packer : Carlson Raulen | item_weight : 130 g | item_dimensions_lxwxh : 12 x 6 x 5 Centimeters | net_quantity : 1.00 count | generic_name : Watch | ratings : 206
B099WNYHY2,#15 in Watches (See Top 100 in Watches)#3 inMen's Wrist Watches,20-Jul-21,Fastrack Analog Unisex-Adult Watch,760,850,FALSE,FALSE,FALSE,9782,4.2,In stock,VRP Telematics,FBA,0,"batteries : 1 Lithium Polymer batteries required. (included) | product_dimensions : 14 x 7 x 100 cm; 150 Grams | manufacturer : Titan Company Ltd, Titan Company Ltd, 3 Sipcot Industrial Complex, Hosur - 635126; Telephone | item_model_number : 38024PP25 | country_of_origin : India | department : Unisex-adult | packer : Titan Company Ltd, 3 Sipcot Industrial Complex, Hosur - 635126; Telephone | item_weight : 150 g | item_dimensions_lxwxh : 14 x 7 x 100 Centimeters | net_quantity : 1 count | generic_name : Casual Watch | ratings : 9,782"
B0BRKYMS7Y,#1 in Watches #1 inSmart Watches#1 inMen's Watches#1 inWomen's Fashion Smartwatches,22-Feb-23,"Fire-Boltt Phoenix Pro 1.39"" Bluetooth Calling Smartwatch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Gold Pink)",1499,11999,FALSE,FALSE,FALSE,64036,4.2,In stock,Appario Retail Private Ltd,FBA,0,"brand : Fire-Boltt | manufacturer : Fire-Boltt | series : Phoenix Pro | colour : Pink | item_height : 11.95 Millimeters | item_width : 44.6 Millimeters | standing_screen_display_size : 1.39 Inches | product_dimensions : 27.5 x 4.46 x 1.19 cm; 50 Grams | batteries : 1 Lithium Ion batteries required. (included) | item_model_number : BSW100 | connectivity_type : Bluetooth | wireless_type : Bluetooth | wattage : 240 Watts | operating_system : android & iOS | average_battery_life_in_hours : 5 Days | are_batteries_included : Yes | lithium_battery_energy_content : 2 Watt Hours | number_of_lithium_ion_cells : 1 | included_components : 1 Smartwatch, 1 Manual, 1 Magnetic Charger, 1 Warranty Card | country_of_origin : China | item_weight : 50 g | ratings : 64,036 | packer : Boltt Games Pvt Ltd | importer : Savex Technologies Pvt Ltd | item_dimensions_lxwxh : 27.5 x 4.5 x 1.2 Centimeters | net_quantity : 1 Piece | generic_name : Smartwatch"
B0BD5R89RQ,#16 in Watches (See Top 100 in Watches)#4 inMen's Wrist Watches,05-Sep-22,LOUIS DEVIN Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054,397,2199,TRUE,FALSE,FALSE,1118,3.9,In stock,Louis Devin,FBA,0,"batteries : 1 Product Specific batteries required. (included) | product_dimensions : 18 x 4.5 x 0.7 cm; 150 Grams | manufacturer : LOUIS DEVIN | item_model_number : LD-BK054-BLACK | country_of_origin : India | department : men | packer : Sagas Marketing, Patparganj Industrial Area, Delhi | item_weight : 150 g | item_dimensions_lxwxh : 18 x 4.5 x 0.7 Centimeters | net_quantity : 1.00 Piece | generic_name : Watch | ratings : 1,118"
B09YV3F8RS,#899 in Electronics #76 inSmart Watches,23-May-22,"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces (Navy Blue)",1099,7999,FALSE,FALSE,FALSE,38649,4.2,In stock,Appario Retail Private Ltd,FBA,0,"brand : Fire-Boltt | manufacturer : Fire-Boltt | model : BSW030 | model_name : Ninja 3 | model_year : 2021 | product_dimensions : 4.5 x 4.5 x 1.1 cm; 47 Grams | batteries : 1 Lithium Ion batteries required. (included) | item_model_number : BSW030 | operating_system : Manual | compatible_devices : Tablet, Smartphone | special_features : Sleep Monitor, Sedentary Reminder, GPS | mounting_hardware : 1 Smartwatch, 1 Manual, 1 Magnetic Charger, 1 Warranty Card | number_of_items : 1 | display_technology : Cloud | standing_screen_display_size : 1.69 Inches | display_type : HD Display | wattage : 240 Watts | battery_average_life : 7 Days | batteries_included : Yes | batteries_required : Yes | battery_cell_composition : Lithium Ion | wireless_type : Bluetooth | connector_type : Bluetooth | device_interface_primary : Touchscreen, Buttons | material : Silicone | includes_rechargeable_battery : Yes | country_of_origin : China | item_weight : 47 g | ratings : 38,649 | packer : Boltt Games Pvt Ltd | importer : Savex Technologies Pvt Ltd | item_dimensions_lxwxh : 45 x 45 x 11 Millimeters | net_quantity : 1 Piece | generic_name : Smart Watch"
B0BD93V6RY,"#1,388 in Electronics #113 inSmart Watches",04-Oct-22,"OnePlus Nord Watch with 1.78” AMOLED Display, 60 Hz Refresh Rate, 105 Fitness Modes, 10 Days Battery, SPO2, Heart Rate, Stress Monitor, Women Health Tracker & Multiple Watch Faces [Deep Blue]",4999,6999,FALSE,TRUE,FALSE,1896,3.9,In stock,Appario Retail Private Ltd,FBA,0,"brand : OnePlus | manufacturer : OnePlus | series : OnePlus Nord Watch- Blue | colour : Blue | item_height : 11 Millimeters | item_width : 37 Millimeters | standing_screen_display_size : 1.78 Inches | product_dimensions : 26 x 3.7 x 1.1 cm; 52 Grams | item_model_number : OPBBE221 | connectivity_type : Bluetooth | wireless_carrier : Cricket | wireless_type : Bluetooth | wattage : 45 Watts | operating_system : RTOS | average_battery_life_in_hours : 10 Days | included_components : 1N Smart watch, 1N Magnetic charger, 1N User maunal, 1N Red Cable Club member card, 1N Sticker | country_of_origin : China | item_weight : 52 g | ratings : 1,896 | packer : DONGGUAN ZHENGRONG ELECTRONICS CO,LTD NO.4 SHUGANG AVENUE,HONGMEI TOWN,DONGGUAN CITY,GUANGDONG PROVINCE, GUANGDONG CHINA-523160 | importer : MOBITECH CREATIONS PRIVATE LIMITED, DTJ308, 3RD FLOOR, DLF JASOLA TOWER B, PLOT NO.11, DDA DIST.CENTRE, JASOLA NEW DELHI-110025. Contact: 18001028411, onepluscare@oneplus.com. | item_dimensions_lxwxh : 26 x 3.7 x 1.1 Centimeters | net_quantity : 1 Set | generic_name : Smartwatch"
B0BP18QB9L,"#1,172 in Electronics #94 inSmart Watches",30-Dec-22,"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking (Light Gold)",2499,9999,FALSE,FALSE,FALSE,12469,3.9,In stock,Appario Retail Private Ltd,FBA,0,"brand : Fire-Boltt | manufacturer : Fire-Boltt | model : BSW072 | model_name : Gladiator | model_year : 2022 | product_dimensions : 4.5 x 3.9 x 1.2 cm; 50 Grams | batteries : 1 Lithium Ion batteries required. (included) | item_model_number : BSW072 | memory_storage_capacity : 128 MB | operating_system : Smartwatch | compatible_devices : Smartphone | special_features : Sleep Monitor, Notifications, Heart Rate Monitor, Oxymeter (SpO2),Music Player,Activity Tracker,Time Display, Distance Tracker, Multisport Tracker,Phone Call | mounting_hardware : 1U Smartwatch, 1U Charging Cable, 1U Manual | number_of_items : 1 | standing_screen_display_size : 1.96 Inches | display_type : LCD | wattage : 240 Watts | battery_average_life : 7 Days | charging_time : 3 Hours | batteries_included : Yes | batteries_required : Yes | battery_capacity : 250 Milliamp Hours | battery_cell_composition : Lithium Ion | battery_power_rating : 250 Milliampere Hour (mAh) | wireless_type : Bluetooth | connector_type : Bluetooth | device_interface_primary : Touchscreen, Microphone, Buttons | material : Silicone | includes_rechargeable_battery : Yes | country_of_origin : China | item_weight : 50 g | ratings : 12,469 | packer : Boltt Games Pvt Ltd | importer : Savex Technologies Pvt Ltd | item_dimensions_lxwxh : 45 x 39 x 12 Millimeters | net_quantity : 1 Piece | generic_name : Smart Watch"
B09NVP6HXY,"#1,027 in Electronics #85 inSmart Watches",18-Feb-22,"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.2cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Lime Green)",1499,3999,FALSE,TRUE,FALSE,37969,4,In stock,Appario Retail Private Ltd,FBA,0,"brand : Noise | manufacturer : Nexxbase Marketing Pvt. Ltd | series : Pulse | colour : Olive Green | item_height : 11.9 Millimeters | item_width : 38.6 Millimeters | standing_screen_display_size : 1.69 Inches | product_dimensions : 4.66 x 3.86 x 1.19 cm; 45 Grams | item_model_number : wrb-sw-colorfitgrand-std-grn_grn | connectivity_type : Bluetooth | wireless_type : Bluetooth | operating_system : Android, ios | average_battery_life_in_hours : 7 Days | included_components : Smartwatch, Magnetic Charger, User Manual, Warranty Card | country_of_origin : China | item_weight : 45 g | ratings : 37,969 | packer : Nexxbase Marketing Pvt. Ltd, Khasra No-146/25/2/1, Jail Road Badshahpur, Gurugram Haryana-122101, 8882-132-132 | importer : Nexxbase Marketing Pvt. Ltd, Khasra No-146/25/2/1, Jail Road Badshahpur, Gurugram Haryana-122101, 8882-132-132 | item_dimensions_lxwxh : 47 x 39 x 12 Millimeters | net_quantity : 1 Piece | generic_name : Smartwatch"
