asin,ranking,date_first_available,product_name,price,mrp,is_dotd,is_deal,is_ld,ratings_count,rating,status,sold_by,fba/mfn,shipping_fee,details
,,,,,,,,,,,,,,,
,,,New Balance Men's Me771,7862.58,,False,False,False,4,3.9,,Bixind (USA).,MFN,"3,020.78",
,,,Puma Unisex-Adult Interflex Modern Running Shoe,2419,3999,False,False,False,160,4.0,Only 5 left in stock,Puma Sports India,FBA,0,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
